Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20190203,22:00:00,20.6900000274181,1.14503,1.14523,1.14503,1.14523,EURUSD,
20190203,22:05:00,445.129999876022,1.14523,1.14574,1.14523,1.14561,EURUSD,
20190203,22:10:00,101.990000128746,1.14561,1.14562,1.14543,1.14543,EURUSD,
20190203,22:15:00,118.109999299049,1.14543,1.14551,1.14532,1.14547,EURUSD,
20190203,22:20:00,241.72999894619,1.14548,1.14551,1.14522,1.14537,EURUSD,
20190203,22:25:00,199.019999623299,1.14535,1.14536,1.14522,1.14522,EURUSD,
20190203,22:30:00,275.099999666214,1.1452,1.14548,1.14517,1.14526,EURUSD,
20190203,22:35:00,182.420000076294,1.14527,1.14552,1.14523,1.14539,EURUSD,
20190203,22:40:00,237.859999895096,1.1454,1.14564,1.14538,1.14541,EURUSD,
20190203,22:45:00,143.589999914169,1.1454,1.14545,1.14532,1.14539,EURUSD,
20190203,22:50:00,218.899999856949,1.14539,1.14546,1.14539,1.14542,EURUSD,
20190203,22:55:00,305.259999394417,1.14542,1.14571,1.14541,1.14556,EURUSD,
20190203,23:00:00,658.029992103577,1.14553,1.14581,1.1453,1.14574,EURUSD,
20190203,23:05:00,265.459998726845,1.14574,1.14575,1.14559,1.14567,EURUSD,
20190203,23:10:00,292.589999437332,1.14568,1.1457,1.1455,1.1455,EURUSD,
20190203,23:15:00,148.39999973774,1.1455,1.14562,1.1455,1.1456,EURUSD,
20190203,23:20:00,246.199998140335,1.14561,1.14572,1.1456,1.14566,EURUSD,
20190203,23:25:00,216.299999117851,1.14567,1.14567,1.14553,1.14554,EURUSD,
20190203,23:30:00,318.160000801086,1.14553,1.14555,1.14544,1.14551,EURUSD,
20190203,23:35:00,470.109999537468,1.14552,1.14562,1.14551,1.14554,EURUSD,
20190203,23:40:00,348.759999155998,1.14554,1.14561,1.14554,1.1456,EURUSD,
20190203,23:45:00,322.31999874115,1.14559,1.14561,1.14549,1.14554,EURUSD,
20190203,23:50:00,295.96999835968,1.14554,1.14558,1.14554,1.14554,EURUSD,
20190203,23:55:00,425.119998335838,1.14555,1.14555,1.14543,1.14543,EURUSD,
20190204,00:00:00,1376.16000068188,1.14543,1.14581,1.14534,1.14534,EURUSD,
20190204,00:05:00,646.479999065399,1.14534,1.14577,1.14534,1.14576,EURUSD,
20190204,00:10:00,325.090000391006,1.14575,1.1458,1.1457,1.14576,EURUSD,
20190204,00:15:00,309.999999761581,1.14576,1.14587,1.14574,1.14579,EURUSD,
20190204,00:20:00,524.069997549057,1.14579,1.14582,1.14556,1.14581,EURUSD,
20190204,00:25:00,559.670001149178,1.14581,1.14597,1.14581,1.14596,EURUSD,
20190204,00:30:00,931.269997477531,1.14597,1.14597,1.14558,1.14578,EURUSD,
20190204,00:35:00,740.089998006821,1.14577,1.14582,1.14556,1.14556,EURUSD,
20190204,00:40:00,619.819999694824,1.14557,1.14571,1.14546,1.14567,EURUSD,
20190204,00:45:00,554.650001049042,1.14566,1.14578,1.14565,1.14573,EURUSD,
20190204,00:50:00,904.179999709129,1.14572,1.14576,1.14554,1.14555,EURUSD,
20190204,00:55:00,969.679996967316,1.14554,1.14555,1.14529,1.14555,EURUSD,
20190204,01:00:00,892.249997973442,1.14555,1.14557,1.1454,1.14551,EURUSD,
20190204,01:05:00,311.330000400543,1.14551,1.14566,1.1455,1.14565,EURUSD,
20190204,01:10:00,330.060000777245,1.14564,1.14567,1.14555,1.14561,EURUSD,
20190204,01:15:00,915.220000624657,1.1456,1.14566,1.1455,1.14565,EURUSD,
20190204,01:20:00,881.209998369217,1.14565,1.14571,1.14554,1.14564,EURUSD,
20190204,01:25:00,499.079998254776,1.14564,1.14566,1.14544,1.14552,EURUSD,
20190204,01:30:00,650.900001049042,1.14552,1.14569,1.14546,1.14567,EURUSD,
20190204,01:35:00,556.670001983643,1.14567,1.1458,1.14567,1.14576,EURUSD,
20190204,01:40:00,703.47999894619,1.14575,1.1459,1.14573,1.14578,EURUSD,
20190204,01:45:00,317.209998965263,1.14579,1.14581,1.14572,1.14574,EURUSD,
20190204,01:50:00,436.70999956131,1.14574,1.14582,1.14574,1.14581,EURUSD,
20190204,01:55:00,481.999995946884,1.1458,1.14587,1.14577,1.14581,EURUSD,
20190204,02:00:00,665.49000108242,1.14582,1.14582,1.14574,1.14575,EURUSD,
20190204,02:05:00,481.26999938488,1.14576,1.14583,1.14575,1.14583,EURUSD,
20190204,02:10:00,450.379999876022,1.14581,1.14586,1.14576,1.14576,EURUSD,
20190204,02:15:00,453.909996628761,1.14576,1.14589,1.14575,1.14586,EURUSD,
20190204,02:20:00,569.899997830391,1.14589,1.14603,1.14564,1.14565,EURUSD,
20190204,02:25:00,654.109998226166,1.14564,1.14582,1.14564,1.1458,EURUSD,
20190204,02:30:00,377.579998731613,1.1458,1.14587,1.14578,1.14581,EURUSD,
20190204,02:35:00,544.31999707222,1.14581,1.14581,1.14552,1.14564,EURUSD,
20190204,02:40:00,595.709998250008,1.14564,1.14568,1.14544,1.14544,EURUSD,
20190204,02:45:00,732.949998617172,1.1454,1.14549,1.1453,1.14534,EURUSD,
20190204,02:50:00,503.109997630119,1.14534,1.1454,1.14529,1.14534,EURUSD,
20190204,02:55:00,479.97999894619,1.14535,1.14544,1.14531,1.14534,EURUSD,
20190204,03:00:00,625.029997944832,1.14535,1.14542,1.14535,1.14536,EURUSD,
20190204,03:05:00,488.849996209145,1.14536,1.14545,1.14535,1.14542,EURUSD,
20190204,03:10:00,817.08999979496,1.14543,1.14545,1.14514,1.14521,EURUSD,
20190204,03:15:00,782.979996085167,1.14521,1.14521,1.14508,1.14508,EURUSD,
20190204,03:20:00,616.360001802444,1.14508,1.14522,1.14501,1.14506,EURUSD,
20190204,03:25:00,418.770000100136,1.14507,1.14512,1.14502,1.14505,EURUSD,
20190204,03:30:00,531.46999835968,1.14505,1.14516,1.14503,1.14515,EURUSD,
20190204,03:35:00,430.360000252724,1.14515,1.14521,1.14502,1.14504,EURUSD,
20190204,03:40:00,982.949998855591,1.14504,1.14504,1.14483,1.1449,EURUSD,
20190204,03:45:00,508.019997358322,1.1449,1.14497,1.14477,1.14482,EURUSD,
